,United States
2015-01-31,1140.7942055926494
2015-02-28,1147.004812963674
2015-03-31,1155.5603155062634
2015-04-30,1164.2893896996152
2015-05-31,1172.9637643007586
2015-06-30,1180.5117340216866
2015-07-31,1186.076047271142
2015-08-31,1189.6083621540388
2015-09-30,1191.4554084841704
2015-10-31,1191.839776342482
2015-11-30,1192.1883790412935
2015-12-31,1192.6122705116773
2016-01-31,1195.585085070649
2016-02-29,1200.3113247480512
2016-03-31,1206.231375019733
2016-04-30,1213.9460511075831
2016-05-31,1221.9239270755647
2016-06-30,1229.9076205533413
2016-07-31,1234.3729221928998
2016-08-31,1236.3890745923304
2016-09-30,1236.1465734524604
2016-10-31,1234.8076691913654
2016-11-30,1233.6374597940685
2016-12-31,1232.9960147424986
2017-01-31,1237.3899994546434
2017-02-28,1244.892879771838
2017-03-31,1256.0579856015952
2017-04-30,1265.583269135566
2017-05-31,1274.6443111972164
2017-06-30,1281.5730033423106
2017-07-31,1286.216210004309
2017-08-31,1287.633764916861
2017-09-30,1287.865384038856
2017-10-31,1286.223165134866
2017-11-30,1286.132340803378
2017-12-31,1286.9614608236093
2018-01-31,1291.7120873930396
2018-02-28,1298.8986488634646
2018-03-31,1308.18987108919
2018-04-30,1317.4279244727293
2018-05-31,1325.3659627232312
2018-06-30,1332.56797290308
2018-07-31,1337.6590742782068
2018-08-31,1340.589527383804
2018-09-30,1339.8345154803546
2018-10-31,1339.1824399338786
2018-11-30,1339.7804991853588
2018-12-31,1341.86812361588
2019-01-31,1345.826720531385
2019-02-28,1351.6438564663215
2019-03-31,1361.5977719536402
2019-04-30,1371.4824316651395
2019-05-31,1381.1603961225803
2019-06-30,1388.8733989603866
2019-07-31,1394.3782475314588
2019-08-31,1397.1483971605282
2019-09-30,1396.6328246061296
2019-10-31,1395.168160336661
2019-11-30,1394.009166954207
2019-12-31,1395.2206408784343
2020-01-31,1400.048484694866
2020-02-29,1407.9397321662975
2020-03-31,1416.220980786088
2020-04-30,1417.4558706932685
2020-05-31,1417.2390258841726
2020-06-30,1418.087604466334
2020-07-31,1423.35770483291
2020-08-31,1424.768712008187
2020-09-30,1422.332301131806
2020-10-31,1419.460836390367
2020-11-30,1417.991254446207
2020-12-31,1419.9489870087443
2021-01-31,1427.6560674015357
2021-02-28,1439.5621045960995
2021-03-31,1454.6846090743982
2021-04-30,1472.9956773894137
2021-05-31,1497.2216104692834
2021-06-30,1525.774663153455
2021-07-31,1555.5515262347735
2021-08-31,1583.1944999815903
2021-09-30,1605.6045069764796
2021-10-31,1619.5930662368637
2021-11-30,1628.8131558939792
2021-12-31,1637.8002501401056
2022-01-31,1648.2378697137829
2022-02-28,1662.886009746947
2022-03-31,1678.0945674057396
2022-04-30,1697.884841646587
2022-05-31,1717.923546980035
2022-06-30,1738.7180920999683
2022-07-31,1755.834620939028
2022-08-31,1765.498862745064
2022-09-30,1767.5365641858775
2022-10-31,1763.036612940788
2022-11-30,1757.1721359861751
2022-12-31,1754.3895652721328
2023-01-31,1756.352485566748
2023-02-28,1762.9501487590287
2023-03-31,1775.424422378762
2023-04-30,1786.1509664587893
2023-05-31,1798.0035185966851
2023-06-30,1804.9043579648992
2023-07-31,1813.265990080184
2023-08-31,1817.5197354763104
2023-09-30,1817.8267182189468
2023-10-31,1814.3094145554176
2023-11-30,1809.1792126668047
2023-12-31,1806.711858778712
2024-01-31,1809.97318344466
2024-02-29,1818.092301144784
2024-03-31,1829.053369793628
2024-04-30,1839.849734527838
2024-05-31,1850.7697597311655
2024-06-30,1860.148358370779
2024-07-31,1867.2435411819572
2024-08-31,1870.2010588865407
2024-09-30,1870.0241039781304
2024-10-31,1866.423174443364
2024-11-30,1863.4760203067256
2024-12-31,1861.6003554872657
2025-01-31,1867.0528417394253
2025-02-28,1876.7524072388435
2025-03-31,1889.9330277368197
2025-04-30,1900.382656441628
2025-05-31,1908.0231990651064
2025-06-30,1913.0050054870185
2025-07-31,1915.126811880116
2025-08-31,1915.568633459284
2025-09-30,1913.9726453617468
2025-10-31,1910.3452104901032
2025-11-30,1904.737524857606
2025-12-31,1900.5083944892367
